Station,MonthTotal,AvgWeekday,AvgSaturday,AvgSunday,AvgHoliday,AvgDailyTotal,TotalWeekdayCount,TotalSaturdayCount,TotalSundayCount,TotalHolidayCount,Month,Year
Journal Square,"693,158","27,726","15,737","11,990",0,"23,105","554,524","78,684","59,950",0,6,2019
Grove Street,"554,437","22,650","11,669","8,618",0,"18,481","453,001","58,345","43,091",0,6,2019
Exchange Place,"422,558","18,880","5,173","3,820",0,"14,085","377,593","25,865","19,100",0,6,2019
Pavonia/ Newport,"472,214","19,759","8,832","6,575",0,"15,740","395,177","44,161","32,876",0,6,2019
Hoboken,"725,032","31,541","10,580","8,262",0,"24,168","630,823","52,901","41,308",0,6,2019
NEW JERSEY SUBTOTAL,"3,783,591","160,708","64,433","49,455",0,"126,120","3,214,147","322,167","247,277",0,6,2019
Christopher Street,"145,122","5,334","3,682","2,796","1,855","4,681","117,355","14,727","11,185","1,855",7,2019
9thStreet,"141,409","4,752","4,759","3,806","2,615","4,562","104,536","19,035","15,223","2,615",7,2019
14thStreet,"242,950","8,990","5,905","4,470","3,664","7,837","197,785","23,621","17,880","3,664",7,2019
23rdStreet,"249,263","9,937","3,921","3,147","2,384","8,041","218,608","15,683","12,588","2,384",7,2019
33rdStreet,"961,684","36,667","19,638","15,918","12,781","31,022","806,680","78,553","63,670","12,781",7,2019
UPTOWN SUBTOTAL,"1,740,428","65,680","37,905","30,137","23,299","56,143","1,444,964","151,619","120,546","23,299",7,2019
WTC,"1,503,709","65,175","5,904","5,672","23,555","48,507","1,433,851","23,615","22,688","23,555",7,2019
NEW YORK SUBTOTAL,"3,244,137","130,855","43,809","35,809","46,854","104,650","2,878,815","175,234","143,234","46,854",7,2019
Newark,"734,389","30,023","8,598","6,953","11,667","23,690","660,515","34,394","27,813","11,667",7,2019
Harrison,"229,147","9,178","3,128","2,689","3,959","7,392","201,922","12,510","10,756","3,959",7,2019
